Date,Value
1/1/1993,0.95
2/1/1993,1.19
3/1/1993,1.32
4/1/1993,1.64
5/1/1993,1.81
6/1/1993,1.92
7/1/1993,1.94
8/1/1993,1.94
9/1/1993,2.04
10/1/1993,1.75
11/1/1993,1.74
12/1/1993,1.62
1/1/1994,3.12
2/1/1994,3.02
3/1/1994,3.08
4/1/1994,3.85
5/1/1994,3.89
6/1/1994,4.83
7/1/1994,5.2
8/1/1994,5.36
9/1/1994,5.45
10/1/1994,5.46
11/1/1994,5.8
12/1/1994,6.55
1/1/1995,5.82
2/1/1995,5.18
3/1/1995,6.8
4/1/1995,6.03
5/1/1995,7.38
6/1/1995,7.51
7/1/1995,5.49
8/1/1995,4.87
9/1/1995,5.08
10/1/1995,5.27
11/1/1995,5.32
12/1/1995,6.06
1/1/1996,5.97
2/1/1996,5.98
3/1/1996,5.33
4/1/1996,8.23
5/1/1996,6.56
6/1/1996,5.18
7/1/1996,9.86
8/1/1996,6.46
9/1/1996,5.72
10/1/1996,7.73
11/1/1996,8.29
12/1/1996,8.17
1/1/1997,4.8
2/1/1997,4.97
3/1/1997,4.61
4/1/1997,4.78
5/1/1997,5.19
6/1/1997,4.97
7/1/1997,5.06
8/1/1997,5.07
9/1/1997,4.81
10/1/1997,5.65
11/1/1997,5.33
12/1/1997,6.33
1/1/1998,6.07
2/1/1998,5.76
3/1/1998,5.88
4/1/1998,7.56
5/1/1998,6.68
6/1/1998,6.93
7/1/1998,5.85
8/1/1998,7.15
9/1/1998,5.73
10/1/1998,8.91
11/1/1998,10.11
12/1/1998,9.44
1/1/1999,6.74
2/1/1999,7.83
3/1/1999,6.01
4/1/1999,8.26
5/1/1999,8.31
6/1/1999,9.52
7/1/1999,6.16
8/1/1999,7.08
9/1/1999,6.13
10/1/1999,6.6
11/1/1999,6.54
12/1/1999,6.46
1/1/2000,6.11
2/1/2000,7.11
3/1/2000,5.78
4/1/2000,10.04
5/1/2000,12.31
6/1/2000,9.96
7/1/2000,9.06
8/1/2000,11.91
9/1/2000,9.22
10/1/2000,10.37
11/1/2000,12.49
12/1/2000,11.58
1/1/2001,7.18
2/1/2001,8.57
3/1/2001,9.2
4/1/2001,8.9
5/1/2001,10.57
6/1/2001,12.45
7/1/2001,11.2
8/1/2001,13.26
9/1/2001,11.98
10/1/2001,15.9
11/1/2001,15.13
12/1/2001,15.42
1/1/2002,8.93
2/1/2002,7.94
3/1/2002,8.76
4/1/2002,12.63
5/1/2002,12.57
6/1/2002,11.85
7/1/2002,12.14
8/1/2002,11.39
9/1/2002,11.62
10/1/2002,10.42
11/1/2002,10.49
12/1/2002,11.27
1/1/2003,13.61
2/1/2003,15.97
3/1/2003,13.3
4/1/2003,14.59
5/1/2003,11.65
6/1/2003,14.22
7/1/2003,16.77
8/1/2003,13.13
9/1/2003,12.63
10/1/2003,17.83
11/1/2003,14.94
12/1/2003,15.07
1/1/2004,14.65
2/1/2004,11.25
3/1/2004,10.17
4/1/2004,12.78
5/1/2004,12.49
6/1/2004,12.59
7/1/2004,25.34
8/1/2004,26.48
9/1/2004,25.53
10/1/2004,14.1
11/1/2004,17.09
12/1/2004,16.2
1/1/2005,17.96
2/1/2005,13.42
3/1/2005,15.8
4/1/2005,15.05
5/1/2005,14.29
6/1/2005,13.34
7/1/2005,24.4
8/1/2005,20.86
9/1/2005,18.65
10/1/2005,17.15
11/1/2005,19.05
12/1/2005,17.67
1/1/2006,23.32
2/1/2006,21.1
3/1/2006,22.61
4/1/2006,21.7
5/1/2006,23.1
6/1/2006,23.74
7/1/2006,26.03
8/1/2006,21.67
9/1/2006,23.89
10/1/2006,28.2
11/1/2006,46.42
12/1/2006,50.64
1/1/2007,26.08
2/1/2007,24.63
3/1/2007,30.65
4/1/2007,24.09
5/1/2007,24.87
6/1/2007,27.31
7/1/2007,40.43
8/1/2007,43.6
9/1/2007,46.66
10/1/2007,33.42
11/1/2007,30.84
12/1/2007,34.31
1/1/2008,32.3
2/1/2008,32.47
3/1/2008,52.04
4/1/2008,50.25
5/1/2008,39.08
6/1/2008,38.51
7/1/2008,42.06
8/1/2008,25.87
9/1/2008,57.18
10/1/2008,34.17
11/1/2008,30.62
12/1/2008,38.37
1/1/2009,28.48
2/1/2009,22.7
3/1/2009,31.16
4/1/2009,24.07
5/1/2009,29.55
6/1/2009,32.79
7/1/2009,25.32
8/1/2009,17.49
9/1/2009,31.28
10/1/2009,37.39
11/1/2009,32.58
12/1/2009,64.56
1/1/2010,31.46
2/1/2010,25.33
3/1/2010,30.39
4/1/2010,44.93
5/1/2010,29.84
6/1/2010,27.56
7/1/2010,37.74
8/1/2010,21.57
9/1/2010,32.11
10/1/2010,33.94
11/1/2010,36.89
12/1/2010,28.18
1/1/2011,22.14
2/1/2011,17.14
3/1/2011,22.32
4/1/2011,31.01
5/1/2011,27.89
6/1/2011,22.08
7/1/2011,32.12
8/1/2011,29.76
9/1/2011,25.54
10/1/2011,24.98
11/1/2011,20.78
12/1/2011,26.08
1/1/2012,19.02
2/1/2012,16.18
3/1/2012,24.16
4/1/2012,22.22
5/1/2012,14.07
6/1/2012,14.32
7/1/2012,31.08
8/1/2012,17.47
9/1/2012,18.43
10/1/2012,26.83
11/1/2012,17.68
12/1/2012,20.65
1/1/2013,21.16
2/1/2013,20.03
3/1/2013,22.47
4/1/2013,35.66
5/1/2013,31.34
6/1/2013,30.21
7/1/2013,42.37
8/1/2013,34.13
9/1/2013,37.65
