Date,Value
12/1/2002,516.1
1/1/2003,516.1
2/1/2003,516.1
3/1/2003,613.6
4/1/2003,613.6
5/1/2003,613.6
6/1/2003,724.68
7/1/2003,724.68
8/1/2003,724.68
9/1/2003,768.16
10/1/2003,768.16
11/1/2003,768.16
12/1/2003,813.97
1/1/2004,813.97
2/1/2004,813.97
3/1/2004,875.49
4/1/2004,875.49
5/1/2004,875.49
6/1/2004,947.28
7/1/2004,947.28
8/1/2004,947.28
9/1/2004,909.07
10/1/2004,909.07
11/1/2004,909.07
12/1/2004,100.19
1/1/2005,105.08
2/1/2005,104.82
3/1/2005,1118.58
4/1/2005,1142.58
5/1/2005,1148.13
6/1/2005,1273.89
7/1/2005,1271.86
8/1/2005,1273.22
9/1/2005,1310.96
10/1/2005,1311.04
11/1/2005,1314.81
12/1/2005,1341.83
1/1/2006,1340.73
2/1/2006,1342.93
3/1/2006,1480.8
4/1/2006,1506.53
5/1/2006,1599.96
6/1/2006,1793.3
7/1/2006,1827.32
8/1/2006,1903.49
9/1/2006,2076.74
10/1/2006,2106.04
11/1/2006,2125.24
12/1/2006,2167.93
1/1/2007,2179.54
2/1/2007,2182.84
3/1/2007,2256.45
4/1/2007,2253.65
5/1/2007,2250.64
6/1/2007,2296.09
7/1/2007,2294
8/1/2007,2305.71
9/1/2007,2383.29
10/1/2007,2379.55
11/1/2007,2370.28
12/1/2007,2721.76
1/1/2008,2728.92
2/1/2008,2490.27
3/1/2008,2618.81
4/1/2008,2619.72
5/1/2008,2619.76
6/1/2008,2703.15
7/1/2008,2683.93
8/1/2008,2583.16
9/1/2008,2658.11
10/1/2008,2657.07
11/1/2008,2659.26
12/1/2008,2702.88
1/1/2009,2699.66
2/1/2009,2711.63
3/1/2009,2791.12
4/1/2009,2792.72
5/1/2009,2798.53
6/1/2009,2810.17
7/1/2009,2807.33
8/1/2009,2816.5
9/1/2009,2492.72
10/1/2009,2492.8
11/1/2009,2492.82
12/1/2009,2546.82
1/1/2010,2546.83
2/1/2010,2546.83
3/1/2010,2573.49
4/1/2010,2573.49
5/1/2010,2573.49
6/1/2010,2629.66
7/1/2010,2629.67
8/1/2010,2629.67
9/1/2010,2611.77
10/1/2010,2611.77
11/1/2010,2611.77
12/1/2010,2570.38
1/1/2011,2570.39
2/1/2011,2570.39
3/1/2011,2517.13
4/1/2011,2517.15
5/1/2011,2519.32
6/1/2011,2499.71
7/1/2011,2499.7
8/1/2011,2499.63
9/1/2011,2478.23
10/1/2011,2478.12
11/1/2011,2477.99
12/1/2011,3313.93
1/1/2012,3348.51
2/1/2012,3352.4
3/1/2012,3355.28
4/1/2012,3363.57
5/1/2012,3381.5
6/1/2012,3669.87
7/1/2012,3681.48
8/1/2012,3686.78
9/1/2012,3600.93
10/1/2012,3604.25
11/1/2012,3745.17
12/1/2012,3684.21
1/1/2013,3675.3
2/1/2013,3692.36
3/1/2013,3623.82
4/1/2013,3635.31
5/1/2013,3843.01
6/1/2013,3723.58
7/1/2013,3726.64
8/1/2013,3919.08
9/1/2013,3707.55
10/1/2013,3709.82
11/1/2013,3708.57
12/1/2013,3546.07
1/1/2014,3554.34
2/1/2014,3559.43
3/1/2014,3891.51
4/1/2014,3851.07
5/1/2014,3859.26
6/1/2014,3599.26
7/1/2014,4011.79
8/1/2014,4033.62
9/1/2014,4104.58
10/1/2014,4111.35
11/1/2014,4129.67
12/1/2014,5512.46
1/1/2015,5575.48
2/1/2015,5632.58
3/1/2015,6755.28
4/1/2015,6753.45
5/1/2015,6791.48
6/1/2015,6513.24
7/1/2015,6529.38
8/1/2015,6541.89
9/1/2015,6485.19
10/1/2015,8100.01
11/1/2015,7652.01
12/1/2015,3142.53
1/1/2016,3147.25
2/1/2016,3141.74
3/1/2016,2141.37
4/1/2016,2154.63
5/1/2016,2146.02
6/1/2016,2073.58
7/1/2016,2057.32
8/1/2016,1392.67
9/1/2016,2482.96
10/1/2016,1944.56
11/1/2016,1937.3
12/1/2016,1970.35
1/1/2017,1987.54
2/1/2017,1974.32
3/1/2017,1583.59
4/1/2017,2233.3
5/1/2017,2504.13
6/1/2017,2842.17
7/1/2017,2449.01
